INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-09-02T02:00:00-00:00,2019-09-02T03:00:00-00:00,2019-09-01,20,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,61.06188,1
2019-09-02T05:00:00-00:00,2019-09-02T06:00:00-00:00,2019-09-01,23,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,34.814,1
2019-09-01T19:00:00-00:00,2019-09-01T20:00:00-00:00,2019-09-01,13,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,27.84657,1
2019-09-01T23:00:00-00:00,2019-09-02T00:00:00-00:00,2019-09-01,17,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,37.43185,1
2019-09-01T07:00:00-00:00,2019-09-01T08:00:00-00:00,2019-09-01,1,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,32.32537,1
2019-09-01T09:00:00-00:00,2019-09-01T10:00:00-00:00,2019-09-01,3,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,29.43287,1
2019-09-01T10:00:00-00:00,2019-09-01T11:00:00-00:00,2019-09-01,4,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,28.83898,1
2019-09-01T12:00:00-00:00,2019-09-01T13:00:00-00:00,2019-09-01,6,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,28.77547,1
2019-09-02T03:00:00-00:00,2019-09-02T04:00:00-00:00,2019-09-01,21,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,46.9715,1
2019-09-01T16:00:00-00:00,2019-09-01T17:00:00-00:00,2019-09-01,10,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,16.25806,1
2019-09-01T22:00:00-00:00,2019-09-01T23:00:00-00:00,2019-09-01,16,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,34.45932,1
2019-09-01T15:00:00-00:00,2019-09-01T16:00:00-00:00,2019-09-01,9,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,16.68136,1
2019-09-01T08:00:00-00:00,2019-09-01T09:00:00-00:00,2019-09-01,2,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,30.56497,1
2019-09-01T11:00:00-00:00,2019-09-01T12:00:00-00:00,2019-09-01,5,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,28.41234,1
2019-09-01T14:00:00-00:00,2019-09-01T15:00:00-00:00,2019-09-01,8,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,26.34778,1
2019-09-02T06:00:00-00:00,2019-09-02T07:00:00-00:00,2019-09-01,24,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,32.7275,1
2019-09-01T18:00:00-00:00,2019-09-01T19:00:00-00:00,2019-09-01,12,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,26.67105,1
2019-09-01T20:00:00-00:00,2019-09-01T21:00:00-00:00,2019-09-01,14,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,31.32571,1
2019-09-01T21:00:00-00:00,2019-09-01T22:00:00-00:00,2019-09-01,15,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,31.40812,1
2019-09-02T00:00:00-00:00,2019-09-02T01:00:00-00:00,2019-09-01,18,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,40.91595,1
2019-09-01T13:00:00-00:00,2019-09-01T14:00:00-00:00,2019-09-01,7,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,29.65056,1
2019-09-02T01:00:00-00:00,2019-09-02T02:00:00-00:00,2019-09-01,19,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,56.28553,1
