INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-04-02T04:00:00-00:00,2019-04-02T05:00:00-00:00,2019-04-01,22,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,50.61802,1
2019-04-02T03:00:00-00:00,2019-04-02T04:00:00-00:00,2019-04-01,21,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,56.97886,1
2019-04-01T15:00:00-00:00,2019-04-01T16:00:00-00:00,2019-04-01,9,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,35.44998,1
2019-04-01T09:00:00-00:00,2019-04-01T10:00:00-00:00,2019-04-01,3,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,28.94826,1
2019-04-01T08:00:00-00:00,2019-04-01T09:00:00-00:00,2019-04-01,2,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,30.67192,1
2019-04-02T06:00:00-00:00,2019-04-02T07:00:00-00:00,2019-04-01,24,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,33.64934,1
2019-04-01T20:00:00-00:00,2019-04-01T21:00:00-00:00,2019-04-01,14,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,20.98835,1
2019-04-01T10:00:00-00:00,2019-04-01T11:00:00-00:00,2019-04-01,4,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,29.1526,1
2019-04-02T02:00:00-00:00,2019-04-02T03:00:00-00:00,2019-04-01,20,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,74.5877,1
2019-04-01T12:00:00-00:00,2019-04-01T13:00:00-00:00,2019-04-01,6,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,43.51882,1
2019-04-01T17:00:00-00:00,2019-04-01T18:00:00-00:00,2019-04-01,11,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,24.02151,1
2019-04-02T00:00:00-00:00,2019-04-02T01:00:00-00:00,2019-04-01,18,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,44.47196,1
2019-04-01T18:00:00-00:00,2019-04-01T19:00:00-00:00,2019-04-01,12,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,20.95101,1
2019-04-01T16:00:00-00:00,2019-04-01T17:00:00-00:00,2019-04-01,10,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,26.80602,1
2019-04-01T14:00:00-00:00,2019-04-01T15:00:00-00:00,2019-04-01,8,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,53.60544,1
2019-04-02T05:00:00-00:00,2019-04-02T06:00:00-00:00,2019-04-01,23,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,39.93788,1
2019-04-01T13:00:00-00:00,2019-04-01T14:00:00-00:00,2019-04-01,7,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,53.36803,1
2019-04-01T23:00:00-00:00,2019-04-02T00:00:00-00:00,2019-04-01,17,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,37.51975,1
2019-04-01T19:00:00-00:00,2019-04-01T20:00:00-00:00,2019-04-01,13,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,20.40391,1
2019-04-01T07:00:00-00:00,2019-04-01T08:00:00-00:00,2019-04-01,1,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,35.11046,1
2019-04-01T22:00:00-00:00,2019-04-01T23:00:00-00:00,2019-04-01,16,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,27.98739,1
2019-04-02T01:00:00-00:00,2019-04-02T02:00:00-00:00,2019-04-01,19,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,56.16006,1
2019-04-01T11:00:00-00:00,2019-04-01T12:00:00-00:00,2019-04-01,5,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,30.64622,1
2019-04-01T21:00:00-00:00,2019-04-01T22:00:00-00:00,2019-04-01,15,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,LMP,LMP_PRC,NP15SLAK_5_N001,ALL,1,21.99607,1
2019-04-01T14:00:00-00:00,2019-04-01T15:00:00-00:00,2019-04-01,8,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-02T01:00:00-00:00,2019-04-02T02:00:00-00:00,2019-04-01,19,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-02T00:00:00-00:00,2019-04-02T01:00:00-00:00,2019-04-01,18,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-01T12:00:00-00:00,2019-04-01T13:00:00-00:00,2019-04-01,6,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-01T10:00:00-00:00,2019-04-01T11:00:00-00:00,2019-04-01,4,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-01T07:00:00-00:00,2019-04-01T08:00:00-00:00,2019-04-01,1,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-01T22:00:00-00:00,2019-04-01T23:00:00-00:00,2019-04-01,16,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-01T21:00:00-00:00,2019-04-01T22:00:00-00:00,2019-04-01,15,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-02T04:00:00-00:00,2019-04-02T05:00:00-00:00,2019-04-01,22,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-02T02:00:00-00:00,2019-04-02T03:00:00-00:00,2019-04-01,20,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-01T09:00:00-00:00,2019-04-01T10:00:00-00:00,2019-04-01,3,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-02T03:00:00-00:00,2019-04-02T04:00:00-00:00,2019-04-01,21,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-01T23:00:00-00:00,2019-04-02T00:00:00-00:00,2019-04-01,17,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
2019-04-01T16:00:00-00:00,2019-04-01T17:00:00-00:00,2019-04-01,10,0,NP15SLAK_5_N001,NP15SLAK_5_N001,NP15SLAK_5_N001,DAM,MCC,LMP_CONG_PRC,NP15SLAK_5_N001,ALL,1,0,2
